"","dept","applicant.gender","admitted"
"1","A","male",1
"1.1","A","male",1
"1.2","A","male",1
"1.3","A","male",1
"1.4","A","male",1
"1.5","A","male",1
"1.6","A","male",1
"1.7","A","male",1
"1.8","A","male",1
"1.9","A","male",1
"1.10","A","male",1
"1.11","A","male",1
"1.12","A","male",1
"1.13","A","male",1
"1.14","A","male",1
"1.15","A","male",1
"1.16","A","male",1
"1.17","A","male",1
"1.18","A","male",1
"1.19","A","male",1
"1.20","A","male",1
"1.21","A","male",1
"1.22","A","male",1
"1.23","A","male",1
"1.24","A","male",1
"1.25","A","male",1
"1.26","A","male",1
"1.27","A","male",1
"1.28","A","male",1
"1.29","A","male",1
"1.30","A","male",1
"1.31","A","male",1
"1.32","A","male",1
"1.33","A","male",1
"1.34","A","male",1
"1.35","A","male",1
"1.36","A","male",1
"1.37","A","male",1
"1.38","A","male",1
"1.39","A","male",1
"1.40","A","male",1
"1.41","A","male",1
"1.42","A","male",1
"1.43","A","male",1
"1.44","A","male",1
"1.45","A","male",1
"1.46","A","male",1
"1.47","A","male",1
"1.48","A","male",1
"1.49","A","male",1
"1.50","A","male",1
"1.51","A","male",1
"1.52","A","male",1
"1.53","A","male",1
"1.54","A","male",1
"1.55","A","male",1
"1.56","A","male",1
"1.57","A","male",1
"1.58","A","male",1
"1.59","A","male",1
"1.60","A","male",1
"1.61","A","male",1
"1.62","A","male",1
"1.63","A","male",1
"1.64","A","male",1
"1.65","A","male",1
"1.66","A","male",1
"1.67","A","male",1
"1.68","A","male",1
"1.69","A","male",1
"1.70","A","male",1
"1.71","A","male",1
"1.72","A","male",1
"1.73","A","male",1
"1.74","A","male",1
"1.75","A","male",1
"1.76","A","male",1
"1.77","A","male",1
"1.78","A","male",1
"1.79","A","male",1
"1.80","A","male",1
"1.81","A","male",1
"1.82","A","male",1
"1.83","A","male",1
"1.84","A","male",1
"1.85","A","male",1
"1.86","A","male",1
"1.87","A","male",1
"1.88","A","male",1
"1.89","A","male",1
"1.90","A","male",1
"1.91","A","male",1
"1.92","A","male",1
"1.93","A","male",1
"1.94","A","male",1
"1.95","A","male",1
"1.96","A","male",1
"1.97","A","male",1
"1.98","A","male",1
"1.99","A","male",1
"1.100","A","male",1
"1.101","A","male",1
"1.102","A","male",1
"1.103","A","male",1
"1.104","A","male",1
"1.105","A","male",1
"1.106","A","male",1
"1.107","A","male",1
"1.108","A","male",1
"1.109","A","male",1
"1.110","A","male",1
"1.111","A","male",1
"1.112","A","male",1
"1.113","A","male",1
"1.114","A","male",1
"1.115","A","male",1
"1.116","A","male",1
"1.117","A","male",1
"1.118","A","male",1
"1.119","A","male",1
"1.120","A","male",1
"1.121","A","male",1
"1.122","A","male",1
"1.123","A","male",1
"1.124","A","male",1
"1.125","A","male",1
"1.126","A","male",1
"1.127","A","male",1
"1.128","A","male",1
"1.129","A","male",1
"1.130","A","male",1
"1.131","A","male",1
"1.132","A","male",1
"1.133","A","male",1
"1.134","A","male",1
"1.135","A","male",1
"1.136","A","male",1
"1.137","A","male",1
"1.138","A","male",1
"1.139","A","male",1
"1.140","A","male",1
"1.141","A","male",1
"1.142","A","male",1
"1.143","A","male",1
"1.144","A","male",1
"1.145","A","male",1
"1.146","A","male",1
"1.147","A","male",1
"1.148","A","male",1
"1.149","A","male",1
"1.150","A","male",1
"1.151","A","male",1
"1.152","A","male",1
"1.153","A","male",1
"1.154","A","male",1
"1.155","A","male",1
"1.156","A","male",1
"1.157","A","male",1
"1.158","A","male",1
"1.159","A","male",1
"1.160","A","male",1
"1.161","A","male",1
"1.162","A","male",1
"1.163","A","male",1
"1.164","A","male",1
"1.165","A","male",1
"1.166","A","male",1
"1.167","A","male",1
"1.168","A","male",1
"1.169","A","male",1
"1.170","A","male",1
"1.171","A","male",1
"1.172","A","male",1
"1.173","A","male",1
"1.174","A","male",1
"1.175","A","male",1
"1.176","A","male",1
"1.177","A","male",1
"1.178","A","male",1
"1.179","A","male",1
"1.180","A","male",1
"1.181","A","male",1
"1.182","A","male",1
"1.183","A","male",1
"1.184","A","male",1
"1.185","A","male",1
"1.186","A","male",1
"1.187","A","male",1
"1.188","A","male",1
"1.189","A","male",1
"1.190","A","male",1
"1.191","A","male",1
"1.192","A","male",1
"1.193","A","male",1
"1.194","A","male",1
"1.195","A","male",1
"1.196","A","male",1
"1.197","A","male",1
"1.198","A","male",1
"1.199","A","male",1
"1.200","A","male",1
"1.201","A","male",1
"1.202","A","male",1
"1.203","A","male",1
"1.204","A","male",1
"1.205","A","male",1
"1.206","A","male",1
"1.207","A","male",1
"1.208","A","male",1
"1.209","A","male",1
"1.210","A","male",1
"1.211","A","male",1
"1.212","A","male",1
"1.213","A","male",1
"1.214","A","male",1
"1.215","A","male",1
"1.216","A","male",1
"1.217","A","male",1
"1.218","A","male",1
"1.219","A","male",1
"1.220","A","male",1
"1.221","A","male",1
"1.222","A","male",1
"1.223","A","male",1
"1.224","A","male",1
"1.225","A","male",1
"1.226","A","male",1
"1.227","A","male",1
"1.228","A","male",1
"1.229","A","male",1
"1.230","A","male",1
"1.231","A","male",1
"1.232","A","male",1
"1.233","A","male",1
"1.234","A","male",1
"1.235","A","male",1
"1.236","A","male",1
"1.237","A","male",1
"1.238","A","male",1
"1.239","A","male",1
"1.240","A","male",1
"1.241","A","male",1
"1.242","A","male",1
"1.243","A","male",1
"1.244","A","male",1
"1.245","A","male",1
"1.246","A","male",1
"1.247","A","male",1
"1.248","A","male",1
"1.249","A","male",1
"1.250","A","male",1
"1.251","A","male",1
"1.252","A","male",1
"1.253","A","male",1
"1.254","A","male",1
"1.255","A","male",1
"1.256","A","male",1
"1.257","A","male",1
"1.258","A","male",1
"1.259","A","male",1
"1.260","A","male",1
"1.261","A","male",1
"1.262","A","male",1
"1.263","A","male",1
"1.264","A","male",1
"1.265","A","male",1
"1.266","A","male",1
"1.267","A","male",1
"1.268","A","male",1
"1.269","A","male",1
"1.270","A","male",1
"1.271","A","male",1
"1.272","A","male",1
"1.273","A","male",1
"1.274","A","male",1
"1.275","A","male",1
"1.276","A","male",1
"1.277","A","male",1
"1.278","A","male",1
"1.279","A","male",1
"1.280","A","male",1
"1.281","A","male",1
"1.282","A","male",1
"1.283","A","male",1
"1.284","A","male",1
"1.285","A","male",1
"1.286","A","male",1
"1.287","A","male",1
"1.288","A","male",1
"1.289","A","male",1
"1.290","A","male",1
"1.291","A","male",1
"1.292","A","male",1
"1.293","A","male",1
"1.294","A","male",1
"1.295","A","male",1
"1.296","A","male",1
"1.297","A","male",1
"1.298","A","male",1
"1.299","A","male",1
"1.300","A","male",1
"1.301","A","male",1
"1.302","A","male",1
"1.303","A","male",1
"1.304","A","male",1
"1.305","A","male",1
"1.306","A","male",1
"1.307","A","male",1
"1.308","A","male",1
"1.309","A","male",1
"1.310","A","male",1
"1.311","A","male",1
"1.312","A","male",1
"1.313","A","male",1
"1.314","A","male",1
"1.315","A","male",1
"1.316","A","male",1
"1.317","A","male",1
"1.318","A","male",1
"1.319","A","male",1
"1.320","A","male",1
"1.321","A","male",1
"1.322","A","male",1
"1.323","A","male",1
"1.324","A","male",1
"1.325","A","male",1
"1.326","A","male",1
"1.327","A","male",1
"1.328","A","male",1
"1.329","A","male",1
"1.330","A","male",1
"1.331","A","male",1
"1.332","A","male",1
"1.333","A","male",1
"1.334","A","male",1
"1.335","A","male",1
"1.336","A","male",1
"1.337","A","male",1
"1.338","A","male",1
"1.339","A","male",1
"1.340","A","male",1
"1.341","A","male",1
"1.342","A","male",1
"1.343","A","male",1
"1.344","A","male",1
"1.345","A","male",1
"1.346","A","male",1
"1.347","A","male",1
"1.348","A","male",1
"1.349","A","male",1
"1.350","A","male",1
"1.351","A","male",1
"1.352","A","male",1
"1.353","A","male",1
"1.354","A","male",1
"1.355","A","male",1
"1.356","A","male",1
"1.357","A","male",1
"1.358","A","male",1
"1.359","A","male",1
"1.360","A","male",1
"1.361","A","male",1
"1.362","A","male",1
"1.363","A","male",1
"1.364","A","male",1
"1.365","A","male",1
"1.366","A","male",1
"1.367","A","male",1
"1.368","A","male",1
"1.369","A","male",1
"1.370","A","male",1
"1.371","A","male",1
"1.372","A","male",1
"1.373","A","male",1
"1.374","A","male",1
"1.375","A","male",1
"1.376","A","male",1
"1.377","A","male",1
"1.378","A","male",1
"1.379","A","male",1
"1.380","A","male",1
"1.381","A","male",1
"1.382","A","male",1
"1.383","A","male",1
"1.384","A","male",1
"1.385","A","male",1
"1.386","A","male",1
"1.387","A","male",1
"1.388","A","male",1
"1.389","A","male",1
"1.390","A","male",1
"1.391","A","male",1
"1.392","A","male",1
"1.393","A","male",1
"1.394","A","male",1
"1.395","A","male",1
"1.396","A","male",1
"1.397","A","male",1
"1.398","A","male",1
"1.399","A","male",1
"1.400","A","male",1
"1.401","A","male",1
"1.402","A","male",1
"1.403","A","male",1
"1.404","A","male",1
"1.405","A","male",1
"1.406","A","male",1
"1.407","A","male",1
"1.408","A","male",1
"1.409","A","male",1
"1.410","A","male",1
"1.411","A","male",1
"1.412","A","male",1
"1.413","A","male",1
"1.414","A","male",1
"1.415","A","male",1
"1.416","A","male",1
"1.417","A","male",1
"1.418","A","male",1
"1.419","A","male",1
"1.420","A","male",1
"1.421","A","male",1
"1.422","A","male",1
"1.423","A","male",1
"1.424","A","male",1
"1.425","A","male",1
"1.426","A","male",1
"1.427","A","male",1
"1.428","A","male",1
"1.429","A","male",1
"1.430","A","male",1
"1.431","A","male",1
"1.432","A","male",1
"1.433","A","male",1
"1.434","A","male",1
"1.435","A","male",1
"1.436","A","male",1
"1.437","A","male",1
"1.438","A","male",1
"1.439","A","male",1
"1.440","A","male",1
"1.441","A","male",1
"1.442","A","male",1
"1.443","A","male",1
"1.444","A","male",1
"1.445","A","male",1
"1.446","A","male",1
"1.447","A","male",1
"1.448","A","male",1
"1.449","A","male",1
"1.450","A","male",1
