wellbeing,SocialConnections,Country,Language,Weird,Setting,Tablet
-0.366738517,High,Brazil,Portuguese,0,In a classroom,Computers
-0.917171838,High,Brazil,Portuguese,0,In a classroom,Computers
-0.257596918,High,Brazil,Portuguese,0,In a classroom,Computers
-0.033392377,High,Brazil,Portuguese,0,In a classroom,Computers
0.221128904,High,Brazil,Portuguese,0,In a classroom,Computers
-0.578815472,High,Brazil,Portuguese,0,In a classroom,Computers
-0.076356663,High,Brazil,Portuguese,0,In a classroom,Computers
-0.806458937,High,Brazil,Portuguese,0,In a classroom,Computers
0.001667786,High,Brazil,Portuguese,0,In a classroom,Computers
-0.239281186,High,Brazil,Portuguese,0,In a classroom,Computers
-0.399553547,High,Brazil,Portuguese,0,In a classroom,Computers
0.230098015,High,Brazil,Portuguese,0,In a classroom,Computers
-0.230312075,High,Brazil,Portuguese,0,In a classroom,Computers
0.420953919,High,Brazil,Portuguese,0,In a classroom,Computers
-0.291212358,High,Brazil,Portuguese,0,In a classroom,Computers
0.364543902,High,Brazil,Portuguese,0,In a classroom,Computers
0.146529733,High,Brazil,Portuguese,0,In a classroom,Computers
-0.379524063,High,Brazil,Portuguese,0,In a classroom,Computers
0.49503313,High,Brazil,Portuguese,0,In a classroom,Computers
-0.771258549,High,Brazil,Portuguese,0,In a classroom,Computers
0.327365184,High,Brazil,Portuguese,0,In a classroom,Computers
-0.490110385,High,Brazil,Portuguese,0,In a classroom,Computers
-0.558254606,High,Brazil,Portuguese,0,In a classroom,Computers
-0.662383754,High,Brazil,Portuguese,0,In a classroom,Computers
0.980482929,High,Brazil,Portuguese,0,In a classroom,Computers
0.539582364,High,Brazil,Portuguese,0,In a classroom,Computers
-0.201186901,High,Brazil,Portuguese,0,In a classroom,Computers
-0.566830336,High,Brazil,Portuguese,0,In a classroom,Computers
-0.267884174,High,Brazil,Portuguese,0,In a classroom,Computers
0.221002325,High,Brazil,Portuguese,0,In a classroom,Computers
0.917084356,High,Brazil,Portuguese,0,In a classroom,Computers
-0.918223179,High,Brazil,Portuguese,0,In a classroom,Computers
-1.132547492,High,Brazil,Portuguese,0,In a classroom,Computers
-0.202240468,High,Brazil,Portuguese,0,In a classroom,Computers
-0.473239376,High,Brazil,Portuguese,0,In a classroom,Computers
0.147316496,High,Brazil,Portuguese,0,In a classroom,Computers
-2.175421394,High,Brazil,Portuguese,0,In a classroom,Computers
-1.426748006,High,Brazil,Portuguese,0,In a classroom,Computers
-0.637470622,High,Brazil,Portuguese,0,In a classroom,Computers
-0.320475531,High,Brazil,Portuguese,0,In a classroom,Computers
0.122403364,High,Brazil,Portuguese,0,In a classroom,Computers
-1.177630333,High,Brazil,Portuguese,0,In a classroom,Computers
0.321174813,High,Brazil,Portuguese,0,In a classroom,Computers
-0.28910745,High,Brazil,Portuguese,0,In a classroom,Computers
0.404476292,High,Brazil,Portuguese,0,In a classroom,Computers
-0.367269898,High,Brazil,Portuguese,0,In a classroom,Computers
-0.58040042,High,Brazil,Portuguese,0,In a classroom,Computers
0.000349641,High,Brazil,Portuguese,0,In a classroom,Computers
-0.788394136,High,Brazil,Portuguese,0,In a classroom,Computers
0.860407536,High,Brazil,Portuguese,0,In a classroom,Computers
0.249987274,High,Brazil,Portuguese,0,In a classroom,Computers
-0.071877818,High,Brazil,Portuguese,0,In a classroom,Computers
0.800827623,High,Brazil,Portuguese,0,In a classroom,Computers
0.833249271,High,Canada,English,1,In a lab,Computers
-0.150042492,High,Canada,English,1,In a lab,Computers
0.977844414,High,Canada,English,1,In a lab,Computers
-0.713261359,High,Canada,English,1,In a lab,Computers
-0.114322144,High,Canada,English,1,In a lab,Computers
1.063391026,High,Canada,English,1,In a lab,Computers
-0.764407993,High,Canada,English,1,In a lab,Computers
0.636989759,High,Canada,English,1,In a lab,Computers
0.49885179,High,Canada,English,1,In a lab,Computers
0.298240011,High,Canada,English,1,In a lab,Computers
-0.339591673,High,Canada,English,1,In a lab,Computers
0.341204297,High,Canada,English,1,In a lab,Computers
-0.430403893,High,Canada,English,1,In a lab,Computers
-0.646046351,High,Canada,English,1,In a lab,Computers
-1.19872703,High,Canada,English,1,In a lab,Computers
0.025656155,High,Canada,English,1,In a lab,Computers
-0.114322144,High,Canada,English,1,In a lab,Computers
0.6070664,High,Canada,English,1,In a lab,Computers
1.110185394,High,Canada,English,1,In a lab,Computers
-1.041597272,High,Canada,English,1,In a lab,Computers
-0.782597146,High,Canada,English,1,In a lab,Computers
-0.355130891,High,Canada,English,1,In a lab,Computers
0.496213275,High,Canada,English,1,In a lab,Computers
-0.864847284,High,Canada,English,1,In a lab,Computers
0.103160644,High,Canada,English,1,In a lab,Computers
-1.097487329,High,Canada,English,1,In a lab,Computers
0.059269369,High,Canada,English,1,In a lab,Computers
-0.112217236,High,Canada,English,1,In a lab,Computers
-0.492217518,High,Canada,English,1,In a lab,Computers
0.445867051,High,Canada,English,1,In a lab,Computers
-1.014846035,High,Canada,English,1,In a lab,Computers
0.212693399,High,Canada,English,1,In a lab,Computers
0.21836381,High,Canada,English,1,In a lab,Computers
0.75732973,High,Canada,English,1,In a lab,Computers
0.040813412,High,Canada,English,1,In a lab,Computers
-0.63905557,High,Canada,English,1,In a lab,Computers
-0.148595544,High,Canada,English,1,In a lab,Computers
