userID,Response,Question,Country,Location,Language,Setting,Online
2,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
3,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
4,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
6,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
9,7,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
10,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
11,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
14,4,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
15,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
16,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
18,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
19,7,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
24,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
25,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
26,5,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
28,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
31,8,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
36,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
39,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
43,5,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
44,7,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
45,5,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
53,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
54,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
55,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
56,1,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
59,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
60,8,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
62,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
63,5,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
66,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
67,8,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
68,2,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
70,7,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
71,7,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
79,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
80,10,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
82,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
83,4,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
86,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
88,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
89,1,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
91,5,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
92,8,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
93,5,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
94,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
95,3,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
96,6,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
97,1,Unprepared,Australia,"University of New South Wales, Sydney, Australia",English,Online (at home),online
101,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
102,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
104,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
108,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
109,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
110,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
113,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
115,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
116,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
117,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
118,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
121,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
122,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
124,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
131,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
133,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
138,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
140,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
141,8,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
144,4,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
146,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
147,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
149,6,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
152,4,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
154,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
155,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
157,6,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
158,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
159,10,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
161,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
162,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
164,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
165,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
168,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
172,8,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
173,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
176,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
178,2,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
181,10,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
184,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
188,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
190,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
192,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
193,5,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
196,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
197,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
199,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
200,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
202,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
203,4,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
206,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
207,8,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
208,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
209,7,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
210,10,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
212,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
215,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
217,3,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
218,1,Unprepared,Canada,"Carleton University, Ottawa, Canada",English,Online (at home),online
227,3,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
228,6,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
229,3,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
232,7,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
233,4,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
235,1,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
236,6,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
238,5,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
242,10,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
243,4,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
248,1,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
250,1,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
251,2,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
252,2,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
253,5,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
255,3,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
256,5,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
260,2,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
261,2,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
262,7,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
264,8,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
265,2,Unprepared,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,In a lab,not-online
