price,year,region,,,,,
1.33,2015,Albany,,,,,
1.35,2015,Albany,,,,,
0.93,2015,Albany,,,,,
1.08,2015,Albany,,,,,
1.28,2015,Albany,,,,,
1.26,2015,Albany,,,,,
0.99,2015,Albany,,,,,
0.98,2015,Albany,,,,,
1.02,2015,Albany,,,,,
1.07,2015,Albany,,,,,
1.12,2015,Albany,,,,,
1.28,2015,Albany,,,,,
1.31,2015,Albany,,,,,
0.99,2015,Albany,,,,,
1.33,2015,Albany,,,,,
1.28,2015,Albany,,,,,
1.11,2015,Albany,,,,,
1.07,2015,Albany,,,,,
1.34,2015,Albany,,,,,
1.33,2015,Albany,,,,,
1.12,2015,Albany,,,,,
1.45,2015,Albany,,,,,
1.11,2015,Albany,,,,,
1.26,2015,Albany,,,,,
1.05,2015,Albany,,,,,
1.35,2015,Albany,,,,,
1.37,2015,Albany,,,,,
1.27,2015,Albany,,,,,
1.32,2015,Albany,,,,,
1.07,2015,Albany,,,,,
1.23,2015,Albany,,,,,
1.19,2015,Albany,,,,,
1.43,2015,Albany,,,,,
1.26,2015,Albany,,,,,
1.2,2015,Albany,,,,,
1.22,2015,Albany,,,,,
1.19,2015,Albany,,,,,
1.13,2015,Albany,,,,,
1.16,2015,Albany,,,,,
1.02,2015,Albany,,,,,
1.12,2015,Albany,,,,,
1.11,2015,Albany,,,,,
1.07,2015,Albany,,,,,
0.99,2015,Albany,,,,,
1.07,2015,Albany,,,,,
1.06,2015,Albany,,,,,
0.99,2015,Albany,,,,,
0.99,2015,Albany,,,,,
1.06,2015,Albany,,,,,
1.17,2015,Albany,,,,,
1.24,2015,Albany,,,,,
1.22,2015,Albany,,,,,
0.99,2015,Atlanta,,,,,
1.08,2015,Atlanta,,,,,
0.96,2015,Atlanta,,,,,
1.07,2015,Atlanta,,,,,
0.99,2015,Atlanta,,,,,
1,2015,Atlanta,,,,,
1.13,2015,Atlanta,,,,,
1.12,2015,Atlanta,,,,,
0.99,2015,Atlanta,,,,,
1.09,2015,Atlanta,,,,,
1.09,2015,Atlanta,,,,,
0.95,2015,Atlanta,,,,,
0.96,2015,Atlanta,,,,,
1.07,2015,Atlanta,,,,,
0.93,2015,Atlanta,,,,,
1.07,2015,Atlanta,,,,,
0.97,2015,Atlanta,,,,,
1.15,2015,Atlanta,,,,,
1.12,2015,Atlanta,,,,,
1.09,2015,Atlanta,,,,,
1.01,2015,Atlanta,,,,,
1.15,2015,Atlanta,,,,,
1.08,2015,Atlanta,,,,,
0.97,2015,Atlanta,,,,,
1.14,2015,Atlanta,,,,,
1.01,2015,Atlanta,,,,,
1.13,2015,Atlanta,,,,,
0.99,2015,Atlanta,,,,,
1.1,2015,Atlanta,,,,,
0.99,2015,Atlanta,,,,,
1.1,2015,Atlanta,,,,,
0.96,2015,Atlanta,,,,,
1.11,2015,Atlanta,,,,,
1.1,2015,Atlanta,,,,,
1,2015,Atlanta,,,,,
1.12,2015,Atlanta,,,,,
1.12,2015,Atlanta,,,,,
0.99,2015,Atlanta,,,,,
1.04,2015,Atlanta,,,,,
1.11,2015,Atlanta,,,,,
1,2015,Atlanta,,,,,
1.12,2015,Atlanta,,,,,
1.1,2015,Atlanta,,,,,
0.99,2015,Atlanta,,,,,
1.1,2015,Atlanta,,,,,
1.06,2015,Atlanta,,,,,
1.03,2015,Atlanta,,,,,
0.96,2015,Atlanta,,,,,
1.1,2015,Atlanta,,,,,
1.11,2015,Atlanta,,,,,
1.11,2015,Atlanta,,,,,
1,2015,Atlanta,,,,,
1.17,2015,BaltimoreWashington,,,,,
1.11,2015,BaltimoreWashington,,,,,
1.15,2015,BaltimoreWashington,,,,,
1.04,2015,BaltimoreWashington,,,,,
1.16,2015,BaltimoreWashington,,,,,
1.12,2015,BaltimoreWashington,,,,,
1.04,2015,BaltimoreWashington,,,,,
1.05,2015,BaltimoreWashington,,,,,
1.12,2015,BaltimoreWashington,,,,,
1.19,2015,BaltimoreWashington,,,,,
0.99,2015,BaltimoreWashington,,,,,
1.24,2015,BaltimoreWashington,,,,,
1.28,2015,BaltimoreWashington,,,,,
1.19,2015,BaltimoreWashington,,,,,
1.17,2015,BaltimoreWashington,,,,,
1.09,2015,BaltimoreWashington,,,,,
1.18,2015,BaltimoreWashington,,,,,
1.24,2015,BaltimoreWashington,,,,,
1.16,2015,BaltimoreWashington,,,,,
1.14,2015,BaltimoreWashington,,,,,
1.16,2015,BaltimoreWashington,,,,,
1.17,2015,BaltimoreWashington,,,,,
1.2,2015,BaltimoreWashington,,,,,
1.18,2015,BaltimoreWashington,,,,,
1.1,2015,BaltimoreWashington,,,,,
1.16,2015,BaltimoreWashington,,,,,
1.15,2015,BaltimoreWashington,,,,,
1.16,2015,BaltimoreWashington,,,,,
1.09,2015,BaltimoreWashington,,,,,
1.26,2015,BaltimoreWashington,,,,,
1.19,2015,BaltimoreWashington,,,,,
1.18,2015,BaltimoreWashington,,,,,
1.27,2015,BaltimoreWashington,,,,,
1.26,2015,BaltimoreWashington,,,,,
1.17,2015,BaltimoreWashington,,,,,
1.29,2015,BaltimoreWashington,,,,,
1.28,2015,BaltimoreWashington,,,,,
1.15,2015,BaltimoreWashington,,,,,
1.29,2015,BaltimoreWashington,,,,,
1.25,2015,BaltimoreWashington,,,,,
1.1,2015,BaltimoreWashington,,,,,
1.24,2015,BaltimoreWashington,,,,,
1.26,2015,BaltimoreWashington,,,,,
1.16,2015,BaltimoreWashington,,,,,
1.11,2015,BaltimoreWashington,,,,,
1.25,2015,BaltimoreWashington,,,,,
1.09,2015,BaltimoreWashington,,,,,
1.06,2015,BaltimoreWashington,,,,,
1.2,2015,BaltimoreWashington,,,,,
1.23,2015,BaltimoreWashington,,,,,
1.17,2015,BaltimoreWashington,,,,,
1.08,2015,BaltimoreWashington,,,,,
0.97,2015,Boise,,,,,
1.03,2015,Boise,,,,,
0.99,2015,Boise,,,,,
0.71,2015,Boise,,,,,
1.06,2015,Boise,,,,,
1.09,2015,Boise,,,,,
1.01,2015,Boise,,,,,
1.11,2015,Boise,,,,,
1.14,2015,Boise,,,,,
1.11,2015,Boise,,,,,
1.16,2015,Boise,,,,,
0.94,2015,Boise,,,,,
1.12,2015,Boise,,,,,
0.99,2015,Boise,,,,,
1.03,2015,Boise,,,,,
1.08,2015,Boise,,,,,
1.16,2015,Boise,,,,,
1.19,2015,Boise,,,,,
1.05,2015,Boise,,,,,
1.12,2015,Boise,,,,,
1.1,2015,Boise,,,,,
1.07,2015,Boise,,,,,
1.07,2015,Boise,,,,,
1.09,2015,Boise,,,,,
1.05,2015,Boise,,,,,
1.15,2015,Boise,,,,,
1.04,2015,Boise,,,,,
1.06,2015,Boise,,,,,
0.99,2015,Boise,,,,,
1.12,2015,Boise,,,,,
0.97,2015,Boise,,,,,
1.03,2015,Boise,,,,,
0.96,2015,Boise,,,,,
1.06,2015,Boise,,,,,
1,2015,Boise,,,,,
0.96,2015,Boise,,,,,
0.99,2015,Boise,,,,,
1.19,2015,Boise,,,,,
1.09,2015,Boise,,,,,
0.98,2015,Boise,,,,,
1.17,2015,Boise,,,,,
1,2015,Boise,,,,,
1.14,2015,Boise,,,,,
1.06,2015,Boise,,,,,
0.99,2015,Boise,,,,,
1.14,2015,Boise,,,,,
1.07,2015,Boise,,,,,
0.91,2015,Boise,,,,,
1.03,2015,Boise,,,,,
1.08,2015,Boise,,,,,
1.18,2015,Boise,,,,,
1.01,2015,Boise,,,,,
1.13,2015,Boston,,,,,
1.07,2015,Boston,,,,,
1.01,2015,Boston,,,,,
1.02,2015,Boston,,,,,
1.19,2015,Boston,,,,,
1.07,2015,Boston,,,,,
1.05,2015,Boston,,,,,
1.04,2015,Boston,,,,,
1.06,2015,Boston,,,,,
1.02,2015,Boston,,,,,
0.94,2015,Boston,,,,,
1.14,2015,Boston,,,,,
1.07,2015,Boston,,,,,
1.07,2015,Boston,,,,,
1.15,2015,Boston,,,,,
1.03,2015,Boston,,,,,
1.11,2015,Boston,,,,,
1.13,2015,Boston,,,,,
1.07,2015,Boston,,,,,
1.15,2015,Boston,,,,,
1.07,2015,Boston,,,,,
1.17,2015,Boston,,,,,
1.28,2015,Boston,,,,,
1.18,2015,Boston,,,,,
1.14,2015,Boston,,,,,
1.27,2015,Boston,,,,,
1.25,2015,Boston,,,,,
1.24,2015,Boston,,,,,
1.08,2015,Boston,,,,,
1.25,2015,Boston,,,,,
1.26,2015,Boston,,,,,
1.14,2015,Boston,,,,,
1.26,2015,Boston,,,,,
1.14,2015,Boston,,,,,
1.17,2015,Boston,,,,,
1.28,2015,Boston,,,,,
1.15,2015,Boston,,,,,
1.26,2015,Boston,,,,,
1.27,2015,Boston,,,,,
1.19,2015,Boston,,,,,
1.18,2015,Boston,,,,,
1.25,2015,Boston,,,,,
1.17,2015,Boston,,,,,
1.11,2015,Boston,,,,,
1.23,2015,Boston,,,,,
1.2,2015,Boston,,,,,
1.04,2015,Boston,,,,,
1.22,2015,Boston,,,,,
1.17,2015,Boston,,,,,
1.23,2015,Boston,,,,,
1.1,2015,Boston,,,,,
1.02,2015,Boston,,,,,
1.35,2015,BuffaloRochester,,,,,
1.37,2015,BuffaloRochester,,,,,
1.35,2015,BuffaloRochester,,,,,
1.23,2015,BuffaloRochester,,,,,
1.39,2015,BuffaloRochester,,,,,
1.4,2015,BuffaloRochester,,,,,
1.36,2015,BuffaloRochester,,,,,
1.3,2015,BuffaloRochester,,,,,
