Year,Name,MasFem,MinPressure_before,Minpressure_Updated 2014,Gender_MF,Category,alldeaths,NDAM,Elapsed_Yrs
1950,Easy,6.77778,958,960,1,3,2,1590,63
1950,King,1.38889,955,955,0,3,4,5350,63
1952,Able,3.83333,985,985,0,1,3,150,61
1953,Barbara,9.83333,987,987,1,1,1,58,60
1953,Florence,8.33333,985,985,1,1,0,15,60
1954,Carol,8.11111,960,960,1,3,60,19321,59
1954,Edna,8.55556,954,954,1,3,20,3230,59
1954,Hazel,9.44444,938,938,1,4,20,24260,59
1955,Connie,8.5,962,962,1,3,0,2030,58
1955,Diane,9.88889,987,987,1,1,200,14730,58
1955,Ione,5.94444,960,960,0,3,7,6200,58
1956,Flossy,7,975,975,1,2,15,1540,57
1958,Helene,9.88889,946,946,1,3,1,540,55
1959,Debra,9.88889,984,984,1,1,0,430,54
1959,Gracie,9.77778,950,950,1,3,22,510,54
1960,Donna,9.27778,930,930,1,4,50,53270,53
1960,Ethel,8.72222,981,981,1,1,0,35,53
1961,Carla,9.5,931,931,1,4,46,15850,52
1963,Cindy,9.94444,996,996,1,1,3,300,50
1964,Cleo,7.94444,968,968,1,2,3,6450,49
1964,Dora,9.33333,966,966,1,2,5,16260,49
1964,Hilda,8.83333,950,950,1,3,37,2770,49
1964,Isbell,9.44444,974,974,1,2,3,800,49
1965,Betsy,8.33333,948,948,1,3,75,20000,48
1966,Alma,8.77778,982,982,1,2,6,730,47
1966,Inez,8.27778,983,983,1,1,3,99,47
1967,Beulah,7.27778,950,950,1,3,15,5060,46
1968,Gladys,8.94444,977,977,1,2,3,800,45
1969,Camille,9.05556,909,909,1,5,256,23040,44
1970,Celia,9.44444,945,945,1,3,22,6870,43
1971,Edith,8.5,978,978,1,2,0,300,42
1971,Fern,7.38889,979,979,1,1,2,500,42
1971,Ginger,10,995,995,1,1,0,200,42
1972,Agnes,8.66667,980,980,1,1,117,20430,41
1974,Carmen,8.72222,952,952,1,3,1,1180,39
1975,Eloise,8.94444,955,955,1,3,21,6190,38
1976,Belle,10.44445,980,980,1,1,5,570,37
1977,Babe,6.88889,995,995,1,1,0,66,36
1979,Bob,1.66667,986,986,0,1,1,70,34
1979,David,1.72222,970,970,0,2,15,2700,34
1979,Frederic,2.5,946,946,0,3,5,12770,34
1980,Allen,2.66667,945,945,0,3,2,2130,33
1983,Alicia,9.83333,962,962,1,3,21,10400,30
1984,Diana,9.94444,949,949,1,2,3,410,29
1985,Bob,1.66667,1002,1003,0,1,0,130,28
1985,Danny,2.22222,987,987,0,1,1,160,28
1985,Elena,9.72222,959,959,1,3,4,4180,28
1985,Gloria,9.5,942,942,1,3,8,3020,28
1985,Juan,1.94444,971,971,0,1,12,4730,28
1985,Kate,9.66667,967,967,1,2,5,1310,28
1986,Bonnie,9.38889,990,990,1,1,3,6,27
1986,Charley,2.88889,990,990,0,1,5,58,27
1987,Floyd,1.83333,993,993,0,1,0,1,26
1988,Florence,8.33333,984,984,1,1,1,4,25
1989,Chantal,9.05556,986,986,1,1,13,290,24
1989,Hugo,2.88889,934,934,0,4,21,20020,24
1989,Jerry,2.33333,983,983,0,1,3,230,24
1991,Bob,1.66667,962,962,0,2,15,3620,22
1992,Andrew,2.22222,922,922,0,5,62,66730,21
1993,Emily,9.83333,960,961,1,3,3,96,20
1995,Erin,7.22222,973,973,1,2,6,1650,18
1995,Opal,8.5,942,942,1,3,9,7550,18
1996,Bertha,8.5,974,974,1,2,8,700,17
1996,Fran,7.16667,954,954,1,3,26,8260,17
1997,Danny,2.22222,984,984,0,1,10,200,16
1998,Bonnie,9.38889,964,964,1,2,3,1650,15
1998,Earl,1.88889,987,987,0,1,3,160,15
1998,Georges,2.27778,964,964,0,2,1,3870,15
1999,Bret,2.33333,951,951,0,3,0,94,14
1999,Floyd,1.83333,956,956,0,2,56,8130,14
1999,Irene,9.27778,987,964,1,1,8,1430,14
2002,Lili,10.33333,963,963,1,1,2,1260,11
2003,Claudette,9.16667,979,979,1,1,3,250,10
2003,Isabel,9.38889,957,957,1,2,51,4980,10
2004,Alex,4.16667,972,972,0,1,1,5,9
2004,Charley,2.88889,941,941,0,4,10,20510,9
2004,Frances,6,960,960,1,2,7,12620,9
2004,Gaston,2.66667,985,985,0,1,8,170,9
2004,Ivan,1.05556,946,946,0,3,25,18590,9
2004,Jeanne,8.5,950,950,1,3,5,10210,9
2005,Cindy,9.94444,991,991,1,1,1,350,8
2005,Dennis,2.44444,946,946,0,3,15,2650,8
2005,Ophelia,9.16667,982,982,1,1,1,91,8
2005,Rita,9.5,937,937,1,3,62,10690,8
2005,Wilma,8.61111,950,950,1,3,5,25960,8
2007,Humberto,2.38889,985,985,0,1,1,51,6
2008,Dolly,9.83333,963,967,1,1,1,1110,5
2008,Gustav,1.72222,951,954,0,2,52,4360,5
2008,Ike,1.88889,935,950,0,2,84,20370,5
2011,Irene,9.27778,952,952,1,1,41,7110,2
2012,Isaac,1.94444,965,966,0,1,5,24000,1
2012,Sandy,9,945,942,1,2,159,75000,1
